LC,product,sr_level,temp,category,sub_category,off_on_ratio
15,9,64.17094567974894,hot,4,21,1.3148937378709635
16,9,45.881812858242185,hot,4,21,1.3210323577529142
0,10,55.06264469615635,hot,2,0,1.2384237454296771
1,10,131.66231821813864,hot,2,0,1.2450178056439847
2,10,47.92676250326434,hot,2,0,1.258300850816268
3,10,78.39668581364784,hot,2,0,1.2346465448941935
4,10,89.92446237881798,hot,2,0,1.359661510044004
5,10,24.16120151538365,hot,2,0,1.1543400167843298
6,10,0.4872472351489606,hot,2,0,1.1357955315194328
7,10,42.27211302784106,hot,2,0,1.3731726823874293
8,10,0.5312964877992328,hot,2,0,1.3666018283710202
9,10,72.14829639041011,hot,2,0,1.2615730356921746
10,10,0.40134808805590716,hot,2,0,1.2561904916001805
11,10,87.53937447692653,hot,2,0,1.3073587387818943
12,10,45.62000914621007,hot,2,0,1.1972919598243184
13,10,10.55601697534717,hot,2,0,1.4966047497237909
14,10,92.0222865313914,hot,2,0,1.3419714419893654
15,10,0.28118489864576973,hot,2,0,1.6224133406903156
16,10,135.6800789358127,hot,2,0,1.2626926619273309
0,11,381.2621641677773,hot,4,1,1.1570226406911015
1,11,229.74307972557023,hot,4,1,1.134979725591147
2,11,291.7419540735563,hot,4,1,1.109333849877956
3,11,267.8874758426521,hot,4,1,1.1230391579655776
4,11,209.73303234141903,hot,4,1,1.1239542996473155
5,11,224.7956346200358,hot,4,1,1.1943482810342034
6,11,223.30082201435118,hot,4,1,1.2386014177244866
7,11,382.3218349390956,hot,4,1,1.1755716145224824
8,11,270.6177731733188,hot,4,1,1.2253056867147207
9,11,339.8820278043232,hot,4,1,1.0696215333131487
10,11,224.16470472013975,hot,4,1,1.1783940172554597
11,11,199.42345668986835,hot,4,1,1.116335766945417
12,11,355.52445389496114,hot,4,1,1.1016152593068183
13,11,197.68949035878472,hot,4,1,1.14350950797633
14,11,190.89016628810313,hot,4,1,1.245444151323788
15,11,227.0975472439132,hot,4,1,1.255585483448245
16,11,196.17826820893904,hot,4,1,1.1057945603725763
0,12,29.650333447335587,cold,0,7,1.4921964459631127
1,12,41.958766761540566,cold,0,7,1.3358185564587155
2,12,27.780909179519373,cold,0,7,1.3001471041105699
3,12,28.395061874146073,cold,0,7,1.444977852612305
4,12,46.57955170018123,cold,0,7,1.2072097492593628
5,12,18.62071966811533,cold,0,7,1.481425120079827
6,12,25.46549498433454,cold,0,7,1.4297037610518986
7,12,41.266077750460546,cold,0,7,1.1477202210327222
8,12,25.740103449946183,cold,0,7,1.3675349427951868
9,12,24.249352226214334,cold,0,7,1.3816627392802605
10,12,29.244872165758963,cold,0,7,1.2317484603907787
11,12,36.058463494787816,cold,0,7,1.326673310842508
12,12,26.777462661084993,cold,0,7,1.4598927503976542
13,12,30.65934165649796,cold,0,7,1.217527300458632
14,12,24.389650102260234,cold,0,7,1.2658183354531076
15,12,24.086175652565924,cold,0,7,1.4085176944211917
16,12,34.05271324084658,cold,0,7,1.2369525597609556
0,13,34.9600604912826,cold,0,7,1.6926371042488184
1,13,66.90137012480854,cold,0,7,1.432821998425511
2,13,61.468270858748035,cold,0,7,1.4536342267626763
3,13,67.33406358113416,cold,0,7,1.5849611778586836
4,13,83.84592469636956,cold,0,7,1.2929260474952646
5,13,48.579727721044414,cold,0,7,1.6022827464195428
6,13,62.036244192582465,cold,0,7,1.5813762889939627
7,13,77.31311888111776,cold,0,7,1.2646860116350154
8,13,67.12814080143303,cold,0,7,1.4699557679113555
9,13,52.03009465655152,cold,0,7,1.503625502393769
10,13,71.21009077548575,cold,0,7,1.4374043124906979
11,13,63.85319996651219,cold,0,7,1.4095227971104791
12,13,62.4456679989215,cold,0,7,1.5989049219613645
13,13,85.6884254919107,cold,0,7,1.32712350275534
14,13,65.03806113509314,cold,0,7,1.3585028011941784
15,13,62.10516999392528,cold,0,7,1.5291808680609178
16,13,72.20749089239214,cold,0,7,1.3513688367790295
0,14,13.999777869944353,hot,2,12,0.8640083695937189
1,14,13.244900174957673,hot,2,12,0.8115143209452099
2,14,9.106740514807099,hot,2,12,0.8246795606836126
3,14,6.509910062770097,hot,2,12,0.8278356823652058
4,14,10.033498009305664,hot,2,12,0.9184345632401584
5,14,6.168817344654475,hot,2,12,0.7590639161073841
6,14,4.0035596717352,hot,2,12,0.6649959951844077
8,14,2.7933068227469056,hot,2,12,0.6511792012014768
9,14,7.151429701896581,hot,2,12,0.8334967613674378
10,14,3.098755554753284,hot,2,12,0.684117337264429
11,14,12.446444492379314,hot,2,12,0.8798805117316596
12,14,11.766966538474243,hot,2,12,0.8820884952844906
13,14,6.318250224276479,hot,2,12,0.7789956852235235
14,14,7.93103505687959,hot,2,12,0.7871928056683333
15,14,3.4784187668747495,hot,2,12,0.5929015568836625
16,14,10.019120742260052,hot,2,12,0.9498127351685334
0,15,23.646030763095453,hot,2,15,1.0
1,15,14.943102616307838,hot,2,15,1.0
2,15,16.823706292473016,hot,2,15,1.0
3,15,17.851633827194366,hot,2,15,1.0
4,15,17.271417831444733,hot,2,15,1.0
5,15,13.495734318526674,hot,2,15,1.0
6,15,9.434221393984398,hot,2,15,1.0
7,15,0.0145674911866678,hot,2,15,1.0
8,15,10.733919697405371,hot,2,15,1.0
9,15,18.69705875970487,hot,2,15,1.0
10,15,7.288084319552637,hot,2,15,1.0
11,15,21.16708727131772,hot,2,15,1.0
12,15,23.385199202039587,hot,2,15,1.0
13,15,13.05232075136994,hot,2,15,1.0
14,15,16.959415470658676,hot,2,15,1.0
15,15,9.983262723589938,hot,2,15,1.0
16,15,19.056214729331124,hot,2,15,1.0
0,16,28.824855986287314,hot,3,10,0.8261960543248322
1,16,23.17094174967467,hot,3,10,0.7897139573219537
2,16,16.28342214836507,hot,3,10,0.7898637578716151
3,16,18.93686410895067,hot,3,10,0.7662461187443941
4,16,26.319181760115054,hot,3,10,0.9072926844707723
5,16,20.758223997265937,hot,3,10,0.7617294678519245
6,16,10.925301448999551,hot,3,10,0.6952593961092874
8,16,10.246050661705365,hot,3,10,0.6674298977423442
9,16,12.990570478798185,hot,3,10,0.7934736469941829
10,16,6.552604468720097,hot,3,10,0.7061076576640241
11,16,37.03655249274848,hot,3,10,0.8723901047250943
12,16,20.543863124125323,hot,3,10,0.8384112653293413
13,16,8.685005948005534,hot,3,10,0.7789494878644865
14,16,14.354851941712361,hot,3,10,0.8378101329713207
15,16,12.854607918522454,hot,3,10,0.6494514737372065
16,16,17.362228530484607,hot,3,10,0.8621270183981002
0,17,95.91394897543792,hot,3,10,0.8943498580984554
1,17,88.19896977483049,hot,3,10,0.8565851027008448
2,17,70.86113374564233,hot,3,10,0.8547679994448936
3,17,68.11058356305945,hot,3,10,0.8517741975685943
4,17,111.54255253289946,hot,3,10,0.9253200614106974
5,17,76.7245019307271,hot,3,10,0.8296359760419423
6,17,73.6380396030486,hot,3,10,0.7173923714340094
8,17,52.79170819576651,hot,3,10,0.7198061029481255
9,17,64.55444674227758,hot,3,10,0.8498227300841024
10,17,46.15921467800707,hot,3,10,0.7656786709633389
